# drive_type: ssd
Timestamp,Percentage_Used,Available_Spare,Reallocated_Block_Count,Uncorrectable_Error_Count,Temperature,Power_On_Hours
1783092617.2304237,16,100,0,0,39,1963
1783092622.2989507,16,100,0,0,39,1963
1783092627.3728452,16,100,0,0,39,1963
1783092632.4577878,16,100,0,0,39,1963
1783092637.5549815,16,100,0,0,39,1963
1783092642.6363032,16,100,0,0,39,1963
1783092647.7051597,16,100,0,0,39,1963
1783092652.756874,16,100,0,0,39,1963
1783092657.8495429,16,100,0,0,40,1963
1783092662.9418359,16,100,0,0,40,1963
1783092668.0059996,16,100,0,0,40,1963
1783092673.0647144,16,100,0,0,40,1963
1783092678.1437669,16,100,0,0,40,1963
1783092683.2175136,16,100,0,0,41,1963
1783092688.282992,16,100,0,0,40,1963
1783092693.3303041,16,100,0,0,41,1963
1783092698.4641063,16,100,0,0,41,1963
1783092703.5101666,16,100,0,0,41,1963
1783092708.5531888,16,100,0,0,42,1963
1783092713.5981028,16,100,0,0,42,1963
1783092718.6436875,16,100,0,0,43,1963
1783092723.7139175,16,100,0,0,43,1963
1783092728.8016984,16,100,0,0,43,1963
1783092733.8971593,16,100,0,0,43,1963
1783092738.9865584,16,100,0,0,44,1963
1783092744.1077182,16,100,0,0,44,1963
1783092749.340242,16,100,0,0,44,1963
1783092754.440856,16,100,0,0,45,1963
1783092759.6291358,16,100,0,0,45,1963
1783092764.6850212,16,100,0,0,45,1963
1783092769.7444794,16,100,0,0,47,1963
1783092774.8034012,16,100,0,0,46,1963
1783092779.8864713,16,100,0,0,47,1963
1783092784.9521096,16,100,0,0,46,1963
1783092790.0082269,16,100,0,0,45,1963
1783092795.1061165,16,100,0,0,45,1963
1783092800.1668093,16,100,0,0,45,1963
1783092805.2262673,16,100,0,0,44,1963
1783092810.3019433,16,100,0,0,45,1963
1783092815.362711,16,100,0,0,45,1963
1783092820.418118,16,100,0,0,45,1963
1783092825.5601742,16,100,0,0,45,1963
1783092830.6652262,16,100,0,0,46,1963
1783092835.7495162,16,100,0,0,46,1963
1783092840.8491821,16,100,0,0,45,1963
1783092845.903335,16,100,0,0,45,1963
1783092850.974658,16,100,0,0,44,1963
1783092856.0319524,16,100,0,0,44,1963
1783092861.109577,16,100,0,0,44,1963
1783092866.176495,16,100,0,0,43,1963
1783092871.2422953,16,100,0,0,43,1963
1783092876.3346207,16,100,0,0,43,1963
1783092881.4042358,16,100,0,0,43,1963
1783092886.4743268,16,100,0,0,43,1963
1783092891.529516,16,100,0,0,42,1963
1783092896.6068146,16,100,0,0,42,1963
1783092901.6729286,16,100,0,0,42,1963
1783092906.7369635,16,100,0,0,42,1963
1783092911.8040862,16,100,0,0,42,1963
1783092916.886893,16,100,0,0,42,1963
1783092921.9557889,16,100,0,0,42,1963
1783092927.0228162,16,100,0,0,42,1963
1783092932.0873783,16,100,0,0,41,1963
1783092937.1385553,16,100,0,0,41,1963
1783092942.2096488,16,100,0,0,41,1963
1783092947.25455,16,100,0,0,41,1963
1783092952.352121,16,100,0,0,42,1963
1783092957.4056025,16,100,0,0,43,1963
1783092962.4664295,16,100,0,0,44,1963
1783092967.5349002,16,100,0,0,43,1963
1783092972.594929,16,100,0,0,43,1963
1783092977.6700387,16,100,0,0,43,1963
1783092982.7282214,16,100,0,0,43,1963
1783092987.829968,16,100,0,0,43,1963
1783092992.914655,16,100,0,0,43,1963
1783092997.9770415,16,100,0,0,42,1963
1783093003.04373,16,100,0,0,42,1963
1783093008.0891862,16,100,0,0,42,1963
1783093013.1471593,16,100,0,0,42,1963
1783093018.2124002,16,100,0,0,42,1963
1783093023.3068902,16,100,0,0,42,1963
1783093028.4253795,16,100,0,0,42,1963
1783093033.5245469,16,100,0,0,42,1963
1783093038.607701,16,100,0,0,42,1963
1783093043.683399,16,100,0,0,42,1963
1783093048.7487304,16,100,0,0,42,1963
1783093053.8415005,16,100,0,0,42,1963
1783093058.9096708,16,100,0,0,42,1963
1783093063.9773765,16,100,0,0,42,1963
1783093069.0495644,16,100,0,0,42,1963
1783093074.1097112,16,100,0,0,42,1963
1783093079.1783333,16,100,0,0,42,1963
1783093084.2898757,16,100,0,0,42,1963
1783093089.3611822,16,100,0,0,42,1963
1783093094.441283,16,100,0,0,42,1963
1783093099.5013535,16,100,0,0,42,1963
1783093104.5889666,16,100,0,0,42,1963
1783093109.6763308,16,100,0,0,42,1963
