inter_press_mean,inter_press_std,inter_press_min,inter_press_max,inter_press_median,dwell_mean,dwell_std,dwell_median,flight_mean,flight_std,flight_median,event_count,press_count,release_count,key_press_rate,pause_count,pause_mean,pause_max,max_same_key_streak,most_common_key_ratio,unique_key_count,char_key_count,letter_key_count,digit_key_count,space_count,enter_count,backspace_count,delete_count,tab_count,arrow_key_count,modifier_key_count,function_key_count,special_key_count,correction_key_ratio
0.1650119679314749,0.1205204090572639,0.0572266578674316,0.5676388740539551,0.1338993310928344,0.1275547504425049,0.0326519099489702,0.123300552368164,0.0963501665327284,0.1363680918010466,0.0426216125488281,30,15,15,6.222508736447541,0,0.0,0.0,1,0.2,12,0,12,0,3,0,0,0,0,0,0,0,0,0.0
0.1798606373014904,0.1460501062936615,0.0572266578674316,0.64933180809021,0.1359338760375976,0.1173323717984286,0.0328357982609923,0.1123768091201782,0.1034605652093887,0.1585261400653995,0.0406244993209838,44,22,22,5.689441692320365,0,0.0,0.0,1,0.1818181818181818,13,0,18,0,4,0,0,0,0,0,0,0,0,0.0
0.1696861286958058,0.1247372263705562,0.0695319175720214,0.7058496475219727,0.1389821767807006,0.0991996955871582,0.0230534842673751,0.0950758457183837,0.103973765122263,0.1335306829935774,0.0598220825195312,50,25,25,5.988150545984378,0,0.0,0.0,1,0.16,14,0,21,0,4,0,0,0,0,0,0,0,0,0.0
0.1752206392066423,0.1237811153931215,0.0695319175720214,0.7058496475219727,0.1367387771606445,0.1014867750081149,0.0331546499314628,0.0927290916442871,0.1127990414114559,0.1304912658924742,0.0760608911514282,88,44,44,5.775092329033611,0,0.0,0.0,1,0.1818181818181818,17,1,35,0,8,0,0,0,0,0,0,0,0,0.0
0.1975871428199436,0.1761987979176413,0.0695319175720214,1.0506224632263184,0.1389821767807006,0.1050287003212786,0.0454642895851917,0.0904376506805419,0.1384675237867567,0.1891863768020143,0.0800894498825073,94,47,47,5.131808154292023,1,1.0506224632263184,1.0506224632263184,1,0.1702127659574468,20,2,35,0,8,1,0,0,0,0,1,0,0,0.0
0.1877626776695251,0.0851102767551692,0.0893442630767822,0.375554084777832,0.1604315042495727,0.0936484336853027,0.0226273839815291,0.087132453918457,0.1053999492100307,0.0920032133511687,0.0825002193450927,18,9,9,5.7247974225871525,0,0.0,0.0,2,0.2222222222222222,7,0,5,0,2,0,2,0,0,0,0,0,0,0.2222222222222222
0.2093879222869873,0.1531227545251767,0.0825536251068115,0.6471612453460693,0.1474690437316894,0.0938446796857393,0.0263969084601753,0.088350772857666,0.1541911363601684,0.1607047941434122,0.0822633504867553,52,26,26,4.892071219238527,0,0.0,0.0,3,0.2307692307692307,14,0,15,0,5,0,6,0,0,0,0,0,0,0.2307692307692307
0.2175178805062937,0.1583468914443032,0.0825536251068115,0.7344872951507568,0.1474690437316894,0.0992236191576177,0.0321692675472711,0.0899374485015869,0.1698378044016221,0.1671419881304723,0.0899449586868286,88,44,44,4.639778637436591,0,0.0,0.0,3,0.1818181818181818,18,0,28,0,8,0,8,0,0,0,0,0,0,0.1818181818181818
0.2098009789243657,0.1620933250925929,0.0788104534149169,0.903122901916504,0.1419744491577148,0.1016207784414291,0.0336848218890776,0.0884703397750854,0.1601234541998969,0.1752915450434855,0.1095944643020629,96,48,48,4.834121537630598,0,0.0,0.0,2,0.1875,19,0,36,0,9,0,3,0,0,0,0,0,0,0.0625
0.1944491068522135,0.1371812970695433,0.0756316184997558,0.903122901916504,0.14704430103302,0.1030406757276885,0.0336370251559898,0.0903058052062988,0.127789754133958,0.1483108207046678,0.0686831474304199,98,49,49,5.203027200787114,0,0.0,0.0,2,0.1836734693877551,21,0,38,0,9,1,1,0,0,0,0,0,0,0.0204081632653061
